Title,Sub Title,Price,Discount Price,Shipping Price,Shipping From,Url
"Apple 11"" MacBook Air 1.6GHz 64GB SSD 2GB MC968LL/A - Mac OS X Mojave / Good !",Good - Refurbished,$109.99,,+$71.85 , United States,https://www.ebay.com/itm/165481323356?hash=item2687749b5c:g:0k4AAOSws7hift08&amdata=enc%3AAQAHAAAA4JBKueMzbDEj3rygLKwzH01AR%2FifH1Zg9eRGOSGII%2FlDo3%2F2IoEuoc%2BWfAtk4vXiLWgF%2BR%2BefwjDBBfGQPeYw9OWFglwvXlC0ZhVbtSwTCyer%2FpibVEmNTdzZumilaAiKsMonZ76kP4m48MMj9dvcd5XLcWCKiD3bERClUjQC90t%2Bd96KQFEau%2BiaKhdSfBEpwWGn%2By9hYYgAeCfWOP24KjdalV2rgsh6z3ighbyZ5%2BusZ7ARD%2F7ST3koOzAwrr2oo4EeWEt5fOn5Sj7tTUtO%2FqFc7odei3UxqSFeE0rtWwY%7Ctkp%3ABFBM8sTdkp9g
"Apple MacBook Pro 13"" Laptop | i5 16GB RAM | 1TB SSD | OSX-2019 | WARRANTY ! !",Pre-Owned,$552.77,10% off,+$99.99 , United States,https://www.ebay.com/itm/154038719508?hash=item23dd6c5414:g:2gsAAOSw1xJiaEFm&amdata=enc%3AAQAHAAAA4IGsg43Mf3YOpuyWpN19DBJ1c6QR0AmPv77ax%2Fd4qR3dPPhRiEkAncap8vHTunC49V%2FnL6uTdptA9XEyDPOJG6Ujrvq0wvLXEp%2FbHIGIp5ojQgLrX5Ra9b2sKwqVLGda2rg70JlBZVKt0m9XkcH8Rgy9eEekWyyXgJR50ohBD0WicDgnDRVwg0u2n3wP6cwO4vGQQYdjmwn7jkbsirsvkkCAahiZWrj9Pg0eMP92JUHRIuq9AMy2LZLHfNKsEHsv8L0oG%2BA7bmUbJs3n3Zbea8QzsUxRLhICdt%2B2BVby3fHg%7Ctkp%3ABFBM8sTdkp9g
"APPLE MACBOOK AIR 2020 13.3"" M1 8GB 512GB SSD - MGNA3LL/A",Parts Only,$521.88,,+$49.00 , United States,https://www.ebay.com/itm/403637882011?epid=20042414601&hash=item5dfab14c9b:g:DqYAAOSwSUNiMlSW
"Apple MacBook Pro A1708 13"" (256GB SSD, i5, 2.3 GHz, 16 GB) 2017 Monterey",Pre-Owned,$419.00,,+$70.00 , United States,https://www.ebay.com/itm/284823516357?hash=item4250cdf4c5:g:BTcAAOSwBE5iPy2-
"Apple MacBook Pro 15"" Retina 2012 i7-3615QM 2.3GHz 8GB Ram 256GB SSD OS 10.15",Pre-Owned,$181.00,,+$114.10 , United States,https://www.ebay.com/itm/334444464051?hash=item4dde7187b3:g:IXAAAOSwVtJig-2f
"Apple A1466 Macbook Air 13.3"" i7-4650U @ 1.7GHz - 8GB RAM - 256GB SSD",Pre-Owned,$229.99,,+$66.00 , United States,https://www.ebay.com/itm/224999568150?epid=146411925&hash=item346304f316:g:et8AAOSw0hVii9fe
"Apple MacBook Pro 16"" 2019 (2Tb SSD, Intel 8-Core i9 2.40 GHz, 32Gb) MVVN2LL/A",Pre-Owned,"$1,075.00",,+$158.00 , United States,https://www.ebay.com/itm/203960285647?epid=9037269776&hash=item2f7cfaf9cf:g:eiwAAOSwhjpih6qv
"Apple MacBook Pro A1708 13"" (256GB, i5, 2.0 GHz, 8 GB) 2016 Monterey - 216cyc",Pre-Owned,$350.00,,+$49.00 , United States,https://www.ebay.com/itm/284765617584?hash=item424d5a7db0:g:QfkAAOSw~XBiWCAr
Apple MacBook Air 2015 1.6GHz 128GB SSD 8GB RAM A1466 MMGF2LL/A +B and C Grade,Pre-Owned,$175.00,,+$74.00 , United States,https://www.ebay.com/itm/234555307287?epid=10047130180&hash=item369c95f517:g:3rkAAOSwnDxigq2D
MacBook Air 13” (Mid 2012) Catalina Core 1.8GHz i5 8GB RAM 256GB SSD ✔️✔️✔️,Pre-Owned,$146.99,,+$49.00 , United States,https://www.ebay.com/itm/363816876446?hash=item54b52cf99e:g:~gEAAOSwmRdig-28
"Apple MacBook Pro A1708 13"" (128GB, Intel Core i5, 2.3 GHz, 8 GB) Laptop -...",Pre-Owned,$220.00,,+$70.00 , United States,https://www.ebay.com/itm/125326440792?epid=238194934&hash=item1d2e09b958:g:7bgAAOSw4GliiOL7
"Apple MacBook Pro 13"" (128GB SSD, Intel Core i5, 1.40 GHz, 8GB) Laptop - Silver",Open Box,$500.00,,+$35.00 , United States,https://www.ebay.com/itm/403643881822?epid=2322510018&hash=item5dfb0cd95e:g:ZysAAOSwX7FidbXp
"Apple MacBook Pro A1502 13.3 inch Laptop - ME864LL/A (October, 2013)",Pre-Owned,$102.50,,+$64.00 , United States,https://www.ebay.com/itm/275313360308?epid=174477594&hash=item4019f47db4:g:9uoAAOSw3-xigYJK
Apple MacBook Pro Retina 13-inch 2015 - i7 512GB SSD 16GB RAM - 2472-010,Pre-Owned,$399.99,,+$70.00 , United States,https://www.ebay.com/itm/224959398540?epid=3041819211&hash=item3460a0028c:g:tlEAAOSwn0BiaWZw
New ListingApple MacBook Pro A1706 EMC 3163 I5-7267U 16GB RAM 256GB SSD Monterey Discounted,Pre-Owned,$74.99,,+$128.47 , United States,https://www.ebay.com/itm/185439174482?hash=item2b2d093f52:g:N0EAAOSwQNVii-oi
"Apple 13"" MacBook Air 2018 1.6GHz Core i5 128GB SSD 16GB A1932 MRE82LL",Pre-Owned,$459.99,,+$79.00 , United States,https://www.ebay.com/itm/144564858925?hash=item21a8bcb02d:g:1f0AAOSwbm1iiTeH
Apple MacBook A1534 12 inch Laptop - MF855LL/A (Early 2015),Pre-Owned,$142.00,,+$260.06 , United States,https://www.ebay.com/itm/134126015575?epid=217009165&hash=item1f3a889457:g:hR8AAOSwxnFiicGb
"MACBOOK PRO 13"" | CORE i5 | 1TB SSD | 16GB RAM | WARRANTY | OS-2019 CATALINA ! !",Pre-Owned,$336.12 to $591.74,10% off,+$99.99 , United States,https://www.ebay.com/itm/154302227968?hash=item23ed212600:g:39wAAOSwDKVgCwNU
"Apple MacBook Air A1465 11 inch Laptop - MJVM2LL/A (March, 2015) Silver/grey",Pre-Owned,$141.50,,+$36.00 , United States,https://www.ebay.com/itm/314002095415?hash=item491bfbbd37:g:cDAAAOSwtYNiX2PI
"New ListingMacBook Air 11.6"" Early 2015 (435) Intel Core i5 1.60GHz 8GB RAM 128GB SSD",Pre-Owned,$297.34,,+$70.00 , United States,https://www.ebay.com/itm/284828087903?hash=item425113b65f:g:nV4AAOSwsH1ijSnM
APPLE MACBOOK PRO 13 | MacOS 2019 CATALINA | 16GB RAM | 1TB SSD | 2.5GHz,Pre-Owned,$535.04,10% off,+$99.99 , United States,https://www.ebay.com/itm/154077858257?hash=item23dfc189d1:g:S24AAOSwEIdgfwsF
2015 Apple MacBook Air 13 inch / Dual Core i5/ 4GB / 128GB SSD - C1MQ5LGRG940,Pre-Owned,$138.00,,+$49.00 , United States,https://www.ebay.com/itm/384903674291?hash=item599e0bf9b3:g:3qcAAOSwcFZiicwS
Apple Macbook Lot of 5,Pre-Owned,$100.00,,Shipping not specified, United States,https://www.ebay.com/itm/195066469570?hash=item2d6ade1cc2:g:5KEAAOSwN9RihlnD
Apple MacBook Air 13.3” Laptop w/ Touch I.D. - Intel Core i5 (Turbo Boost),Open Box,$765.00,,+$49.00 , United States,https://www.ebay.com/itm/234564175452?hash=item369d1d465c:g:GewAAOSwX7FihQVH
Apple MacBook Pro 13 | MacOS Big Sur 2020 | 1TB SSD | 16GB RAM | WARRANTY ! ! !,Pre-Owned,$554.16,5% off,+$99.99 , United States,https://www.ebay.com/itm/154662419309?hash=item2402993b6d:g:Xe0AAOSwS8phfEdp&amdata=enc%3AAQAHAAAA4HM06lVPkmwQmYJbFGtoPiD3ByKWF8IPDfROmc6iVxlZ0CTZRJZfo%2BFLnGgaDf6oStkEB6nohENKLjT%2B8QwSzyF5H2CgdjozkpwbKOiMybrRrwFo5CpUfn47UdaeEqm6BaPa4QtuQyXSfygNz8t5Jl05yAgTrNwhb4XQpxMBfkL%2BeT8zHX3%2B5P%2Bai8CtmikafrHaQePCv6QyQA7DNF4HEVtB%2FGUygQYIvNnz9Q1OafPlLnaCnumnP5VqKskOJ5GmgrZvbyn1dwd%2F4Od8BpC1d3qCwU7nDa4IlQDTRv%2B7VjOX%7Ctkp%3ABFBM8sTdkp9g
